iter	Passed	Remaining
0	2	259
1	4	203
2	5	178
3	6	158
4	7	151
5	9	142
6	10	135
7	11	129
8	12	127
9	14	127
10	15	123
11	16	119
12	17	117
13	18	115
14	20	114
15	21	113
16	22	111
17	24	109
18	25	108
19	26	106
20	28	105
21	29	104
22	30	102
23	31	101
24	33	99
25	34	97
26	35	95
27	36	94
28	37	92
29	38	90
30	39	88
31	40	86
32	41	85
33	43	83
34	44	81
35	44	79
36	45	78
37	46	76
38	47	74
39	48	72
40	49	71
41	49	68
42	50	67
43	51	65
44	52	63
45	53	62
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	71	37
66	72	35
67	73	34
68	74	33
69	75	32
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	80	24
77	81	23
78	82	21
79	83	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	93	5
94	94	4
95	95	3
96	96	2
97	96	1
98	97	0
99	98	0
