iter	Passed	Remaining
0	133	133567
1	136	67945
2	138	45990
3	140	34998
4	145	29010
5	149	24782
6	151	21518
7	154	19100
8	160	17633
9	163	16157
10	165	14861
11	167	13758
12	169	12868
13	171	12070
14	175	11537
15	178	10954
16	179	10393
17	180	9872
18	182	9430
19	183	9010
20	184	8611
21	185	8258
22	187	7960
23	189	7689
24	192	7491
25	193	7250
26	194	7019
27	195	6797
28	196	6585
29	197	6388
30	198	6219
31	200	6055
32	201	5905
33	203	5791
34	205	5677
35	207	5545
36	208	5414
37	208	5288
38	210	5174
39	211	5065
40	211	4955
41	212	4852
42	213	4757
43	214	4660
44	215	4568
45	216	4492
46	218	4432
47	220	4376
48	221	4303
49	222	4232
50	223	4162
51	224	4098
52	225	4034
53	226	3976
54	227	3915
55	228	3857
56	229	3798
57	230	3751
58	233	3718
59	235	3695
60	237	3648
61	238	3602
62	239	3557
63	240	3511
64	241	3468
65	242	3427
66	242	3383
67	243	3343
68	244	3304
69	247	3281
70	248	3257
71	250	3229
72	251	3192
73	252	3155
74	253	3125
75	254	3091
76	255	3057
77	255	3023
78	256	2990
79	257	2957
80	257	2925
81	258	2894
82	258	2860
83	260	2845
84	262	2827
85	264	2811
86	265	2784
87	266	2759
88	267	2734
89	268	2711
90	269	2688
91	269	2664
92	270	2640
93	271	2616
94	272	2593
95	272	2570
96	274	2552
97	276	2543
98	278	2537
99	279	2518
100	280	2498
101	281	2477
102	282	2458
103	283	2441
104	284	2422
105	284	2403
106	285	2384
107	286	2365
108	287	2347
109	287	2329
110	289	2319
111	291	2311
112	293	2303
113	294	2289
114	295	2272
115	296	2257
116	296	2240
117	297	2226
118	298	2211
119	299	2196
120	300	2182
121	301	2166
122	301	2151
123	302	2137
124	304	2128
125	305	2122
126	307	2116
127	308	2104
128	309	2091
129	310	2078
130	311	2065
131	312	2053
132	313	2044
133	314	2032
134	315	2021
135	316	2011
136	317	1999
137	318	1990
138	321	1988
139	323	1986
140	324	1975
141	324	1962
142	325	1952
143	326	1942
144	327	1932
145	328	1922
146	329	1912
147	330	1902
148	331	1892
149	332	1882
150	333	1876
151	335	1874
152	337	1870
153	338	1861
154	339	1852
155	340	1842
156	341	1834
157	342	1824
158	343	1815
159	344	1806
160	344	1795
161	345	1786
162	346	1777
163	347	1772
164	349	1770
165	352	1768
166	353	1761
167	353	1752
168	354	1745
169	356	1738
170	356	1730
171	357	1722
172	358	1714
173	359	1706
174	360	1698
175	361	1690
176	361	1682
177	363	1677
178	365	1675
179	367	1674
180	368	1667
181	369	1660
182	370	1653
183	371	1646
184	372	1639
185	373	1633
186	374	1627
187	375	1620
188	376	1614
189	378	1613
190	380	1611
191	382	1609
192	384	1607
193	385	1603
194	387	1600
195	389	1596
196	390	1589
197	390	1583
198	391	1577
199	393	1573
200	395	1572
201	397	1569
202	398	1563
203	399	1557
204	399	1551
205	401	1546
206	401	1539
207	402	1533
208	403	1527
209	404	1520
210	405	1514
211	405	1508
212	407	1505
213	409	1504
214	411	1501
215	412	1497
216	413	1491
217	414	1486
218	415	1480
219	415	1474
220	416	1469
221	417	1463
222	418	1458
223	419	1452
224	420	1447
225	421	1444
226	424	1444
227	426	1444
228	427	1439
229	428	1434
230	429	1429
231	430	1424
232	431	1419
233	431	1414
234	432	1408
235	433	1403
236	434	1398
237	435	1392
238	437	1394
239	438	1390
240	439	1384
241	440	1380
242	441	1374
243	442	1370
244	443	1365
245	444	1360
246	444	1356
247	445	1351
248	447	1349
249	449	1347
250	451	1346
251	452	1342
252	453	1338
253	454	1333
254	455	1329
255	456	1325
256	457	1321
257	457	1316
258	458	1313
259	459	1308
260	460	1304
261	462	1303
262	465	1304
263	466	1300
264	467	1296
265	468	1292
266	469	1288
267	470	1284
268	471	1280
269	471	1275
270	472	1271
271	473	1267
272	474	1263
273	475	1259
274	476	1256
275	478	1256
276	481	1255
277	482	1252
278	482	1247
279	483	1243
280	484	1240
281	485	1236
282	486	1232
283	487	1228
284	488	1224
285	488	1220
286	489	1216
287	490	1213
288	493	1212
289	495	1212
290	496	1209
291	497	1206
292	498	1202
293	499	1198
294	500	1195
295	501	1192
296	502	1189
297	503	1185
298	504	1182
299	506	1182
300	508	1180
301	510	1178
302	511	1175
303	512	1172
304	512	1168
305	513	1165
306	514	1161
307	515	1159
308	516	1155
309	517	1152
310	518	1149
311	519	1145
312	522	1147
313	525	1147
314	526	1144
315	527	1141
316	528	1138
317	529	1135
318	530	1132
319	531	1128
320	532	1125
321	532	1122
322	533	1119
323	535	1116
324	537	1116
325	539	1115
326	540	1112
327	541	1110
328	543	1107
329	544	1104
330	544	1101
331	545	1098
332	546	1095
333	547	1091
334	548	1088
335	549	1085
336	550	1082
337	552	1082
338	554	1081
339	555	1078
340	556	1075
341	557	1072
342	558	1069
343	559	1066
344	560	1063
345	561	1060
346	561	1057
347	562	1054
348	563	1051
349	565	1050
350	567	1049
351	570	1049
352	571	1047
353	572	1044
354	573	1041
355	573	1038
356	575	1035
357	575	1032
358	576	1029
359	577	1026
360	578	1023
361	579	1021
362	582	1021
363	584	1020
364	585	1018
365	587	1016
366	587	1014
367	588	1011
368	589	1008
369	590	1006
370	591	1003
371	593	1001
372	594	999
373	596	998
374	598	997
375	599	995
376	600	992
377	601	990
378	602	987
379	603	985
380	604	982
381	605	979
382	606	976
383	606	973
384	607	970
385	608	968
386	610	967
387	612	966
388	614	964
389	615	962
390	616	959
391	616	956
392	618	954
393	618	951
394	619	949
395	620	946
396	621	943
397	622	941
398	622	938
399	624	936
400	626	935
401	626	932
402	627	929
403	628	927
404	629	924
405	630	921
406	630	919
407	631	916
408	632	913
409	633	911
410	633	908
411	634	905
412	635	903
413	636	900
414	637	898
415	638	896
416	639	894
417	640	892
418	641	889
419	642	887
420	643	884
421	643	881
422	644	879
423	645	876
424	646	874
425	647	871
426	647	869
427	648	866
428	649	864
429	650	862
430	651	860
431	652	857
432	653	856
433	655	854
434	656	852
435	657	850
436	658	847
437	658	845
438	659	842
439	660	840
440	660	837
441	661	835
442	662	832
443	663	830
444	664	828
445	665	826
446	665	823
447	666	821
448	667	819
449	670	819
450	672	818
451	673	816
452	674	813
453	674	811
454	675	809
455	677	807
456	678	805
457	678	803
458	679	801
459	680	798
460	681	796
461	682	794
462	683	793
463	685	792
464	688	791
465	689	789
466	689	787
467	690	785
468	691	783
469	692	781
470	693	779
471	694	776
472	695	774
473	695	772
474	696	769
475	697	768
476	699	767
477	702	766
478	703	764
479	704	762
480	704	760
481	705	758
482	706	756
483	707	754
484	708	752
485	709	750
486	709	747
487	710	745
488	711	743
489	712	741
490	714	740
491	716	739
492	717	738
493	718	736
494	719	734
495	720	731
496	721	730
497	722	728
498	723	725
499	723	723
500	724	721
501	725	719
502	726	717
503	726	715
504	730	716
505	732	715
506	734	713
507	735	712
508	736	710
509	737	708
510	738	706
511	739	704
512	740	702
513	740	700
514	742	699
515	744	698
516	746	697
517	747	695
518	748	693
519	749	691
520	750	689
521	751	688
522	752	686
523	753	684
524	754	682
525	754	680
526	755	678
527	756	676
528	759	675
529	760	674
530	761	672
531	762	670
532	763	668
533	764	666
534	765	664
535	765	662
536	766	660
537	767	658
538	767	656
539	768	654
540	769	652
541	770	651
542	772	650
543	774	649
544	776	648
545	777	646
546	778	644
547	779	642
548	780	640
549	781	639
550	781	637
551	782	635
552	783	633
553	784	631
554	785	629
555	785	627
556	787	626
557	789	625
558	791	624
559	792	622
560	792	620
561	793	618
